transcript,effect_sex,pvalue_sex,fdr_sex
ENSGACT00000001707,-0.129,0.012,0.102
ENSGACT00000001713,-0.097,0.050,0.254
ENSGACT00000001715,-0.025,0.982,1.000
ENSGACT00000001716,0.555,0.001,0.014
ENSGACT00000001717,0.024,0.604,0.816
ENSGACT00000001724,0.012,0.804,1.000
ENSGACT00000001725,0.042,0.940,1.000
ENSGACT00000001727,-0.067,0.448,0.783
ENSGACT00000001733,-0.153,0.036,0.206
ENSGACT00000001735,-0.024,0.644,0.816
ENSGACT00000001742,-0.109,0.254,0.545
ENSGACT00000001743,-0.071,0.482,0.783
ENSGACT00000001747,-0.074,0.708,0.883
ENSGACT00000001755,0.326,0.001,0.014
ENSGACT00000001757,-0.151,0.062,0.266
ENSGACT00000001758,-0.014,0.768,0.947
ENSGACT00000001760,-0.151,0.054,0.266
ENSGACT00000001762,-0.007,0.700,0.862
ENSGACT00000001766,0.217,0.008,0.073
ENSGACT00000001768,0.026,0.742,0.947
ENSGACT00000001769,0.002,0.572,0.816
ENSGACT00000001770,-0.159,0.106,0.465
ENSGACT00000001771,-0.292,0.001,0.014
ENSGACT00000001774,0.164,0.294,0.640
ENSGACT00000001775,0.049,0.702,0.862
ENSGACT00000001777,-0.113,0.378,0.708
ENSGACT00000001779,-0.221,0.006,0.068
ENSGACT00000001786,0.193,0.001,0.014
ENSGACT00000001787,0.067,0.092,0.343
ENSGACT00000001790,-0.008,0.890,1.000
ENSGACT00000001797,0.528,0.001,0.014
ENSGACT00000001804,-0.261,0.014,0.122
ENSGACT00000001805,-0.033,0.550,0.816
ENSGACT00000001807,-0.298,0.028,0.163
ENSGACT00000001809,0.187,0.480,0.783
ENSGACT00000001823,-0.221,0.001,0.014
ENSGACT00000001833,0.067,0.004,0.068
ENSGACT00000001836,-0.088,0.430,0.783
ENSGACT00000001839,0.042,0.268,0.545
ENSGACT00000001841,0.513,0.001,0.014
ENSGACT00000001843,0.197,0.004,0.068
ENSGACT00000001844,0.225,0.004,0.068
ENSGACT00000001845,-0.058,0.458,0.783
ENSGACT00000001850,-0.280,0.001,0.014
ENSGACT00000001851,0.013,0.818,1.000
ENSGACT00000001853,0.107,0.001,0.014
ENSGACT00000001854,-0.054,0.338,0.641
ENSGACT00000001856,0.164,0.002,0.043
ENSGACT00000001858,0.543,0.001,0.014
ENSGACT00000001861,-0.013,0.946,1.000
ENSGACT00000001863,0.013,0.726,0.883
ENSGACT00000001872,-0.165,0.010,0.097
ENSGACT00000001875,0.262,0.006,0.068
ENSGACT00000001877,0.069,0.072,0.320
ENSGACT00000001879,-0.124,0.040,0.254
ENSGACT00000001883,-0.185,0.164,0.511
ENSGACT00000001884,-0.075,0.274,0.554
ENSGACT00000001885,0.333,0.001,0.014
ENSGACT00000001886,-0.126,0.078,0.325
ENSGACT00000001887,0.397,0.001,0.014
ENSGACT00000001890,-0.072,0.188,0.537
ENSGACT00000001891,-0.778,0.001,0.014
ENSGACT00000001895,-0.158,0.032,0.191
ENSGACT00000001896,0.149,0.006,0.068
ENSGACT00000001901,0.628,0.218,0.545
ENSGACT00000001902,0.014,0.630,0.816
ENSGACT00000001903,0.077,0.026,0.161
ENSGACT00000001904,0.102,0.132,0.465
ENSGACT00000001906,-0.257,0.004,0.068
ENSGACT00000001907,-0.014,0.484,0.783
ENSGACT00000001908,0.146,0.410,0.708
ENSGACT00000001911,0.274,0.018,0.152
ENSGACT00000001913,0.263,0.002,0.043
ENSGACT00000001914,-0.059,0.318,0.641
ENSGACT00000001916,-0.083,0.078,0.325
ENSGACT00000001917,-0.173,0.001,0.014
ENSGACT00000001919,0.066,0.576,0.816
ENSGACT00000001922,3.291,0.001,0.014
ENSGACT00000001923,-0.097,0.094,0.343
ENSGACT00000001924,0.104,0.002,0.043
ENSGACT00000001928,0.121,0.152,0.511
ENSGACT00000001930,-0.109,0.150,0.511
ENSGACT00000001933,-0.153,0.036,0.206
ENSGACT00000001935,0.091,0.276,0.554
ENSGACT00000001936,0.112,0.016,0.122
ENSGACT00000001939,0.090,0.128,0.465
ENSGACT00000001940,0.188,0.002,0.043
ENSGACT00000001941,-0.318,0.002,0.043
ENSGACT00000001946,0.092,0.090,0.343
ENSGACT00000001947,-0.054,0.128,0.465
ENSGACT00000001948,-0.176,0.118,0.465
ENSGACT00000001949,0.014,0.902,1.000
ENSGACT00000001952,0.097,0.054,0.266
ENSGACT00000001955,0.097,0.070,0.309
ENSGACT00000001957,0.066,0.436,0.783
ENSGACT00000001960,0.070,0.162,0.511
ENSGACT00000001964,0.113,0.068,0.271
ENSGACT00000001965,0.310,0.004,0.068
ENSGACT00000001968,-0.138,0.110,0.465
ENSGACT00000001970,-0.097,0.174,0.511
ENSGACT00000001971,0.150,0.004,0.068
ENSGACT00000001974,-0.006,0.866,1.000
ENSGACT00000001975,-0.098,0.066,0.266
ENSGACT00000001977,0.012,0.950,1.000
ENSGACT00000001982,0.001,0.982,1.000
ENSGACT00000001983,-0.165,0.001,0.014
ENSGACT00000001984,-0.041,0.804,1.000
ENSGACT00000001986,-0.112,0.001,0.014
ENSGACT00000001994,0.364,0.001,0.014
ENSGACT00000001995,0.051,0.100,0.343
ENSGACT00000002000,-0.100,0.048,0.254
ENSGACT00000002001,0.077,0.230,0.545
ENSGACT00000002008,0.116,0.072,0.320
ENSGACT00000002013,0.054,0.984,1.000
ENSGACT00000002018,-0.058,0.364,0.641
ENSGACT00000002023,0.337,0.001,0.014
ENSGACT00000002025,0.145,0.124,0.465
ENSGACT00000002028,-0.017,0.734,0.883
ENSGACT00000002029,-0.207,0.001,0.014
ENSGACT00000002032,-0.075,0.154,0.511
ENSGACT00000002034,0.038,0.600,0.816
ENSGACT00000002035,0.041,0.516,0.816
ENSGACT00000002036,-0.297,0.002,0.043
ENSGACT00000002040,-0.082,0.404,0.708
ENSGACT00000002041,0.006,0.886,1.000
ENSGACT00000002044,0.068,0.114,0.465
ENSGACT00000002046,0.254,0.001,0.014
ENSGACT00000002054,0.006,0.926,1.000
ENSGACT00000002062,-0.279,0.001,0.014
ENSGACT00000002063,-0.014,0.818,1.000
ENSGACT00000002064,-0.130,0.004,0.068
ENSGACT00000002066,0.593,0.001,0.014
ENSGACT00000002069,0.092,0.530,0.816
ENSGACT00000002073,0.118,0.466,0.783
ENSGACT00000002076,-0.095,0.040,0.254
ENSGACT00000002080,0.156,0.080,0.325
ENSGACT00000002081,0.035,0.182,0.527
ENSGACT00000002083,-0.007,0.690,0.862
ENSGACT00000002090,-0.038,0.708,0.883
ENSGACT00000002091,-0.027,0.800,1.000
ENSGACT00000002097,-0.041,0.480,0.783
ENSGACT00000002104,-0.097,0.210,0.545
ENSGACT00000002107,0.097,0.098,0.343
ENSGACT00000002108,0.400,0.001,0.014
ENSGACT00000002111,0.485,0.001,0.014
ENSGACT00000002112,0.092,0.046,0.254
ENSGACT00000002116,0.435,0.001,0.014
ENSGACT00000002119,-0.137,0.770,0.947
ENSGACT00000002121,0.123,0.442,0.783
ENSGACT00000002128,0.283,0.016,0.122
ENSGACT00000002133,-0.097,0.272,0.545
ENSGACT00000002136,0.107,0.514,0.816
ENSGACT00000002138,0.173,0.002,0.043
ENSGACT00000002141,0.001,0.684,0.862
ENSGACT00000002142,0.087,0.356,0.641
ENSGACT00000002150,0.015,0.956,1.000
ENSGACT00000002153,-0.136,0.178,0.527
ENSGACT00000002157,-0.136,0.088,0.325
ENSGACT00000002161,0.277,0.084,0.325
ENSGACT00000002162,0.095,0.022,0.152
ENSGACT00000002164,-0.012,0.708,0.883
ENSGACT00000002168,0.043,0.492,0.816
ENSGACT00000002170,0.248,0.001,0.014
ENSGACT00000002173,-0.039,0.372,0.708
ENSGACT00000002174,-0.138,0.001,0.014
ENSGACT00000002175,-0.082,0.308,0.641
ENSGACT00000002177,-0.017,0.930,1.000
ENSGACT00000002180,0.091,0.516,0.816
ENSGACT00000002181,0.254,0.042,0.254
ENSGACT00000002190,-0.337,0.001,0.014
ENSGACT00000002194,-0.089,0.706,0.862
ENSGACT00000002196,0.109,0.030,0.183
ENSGACT00000002200,0.384,0.001,0.014
ENSGACT00000002203,0.102,0.078,0.325
ENSGACT00000002206,-0.113,0.010,0.097
ENSGACT00000002207,-0.106,0.282,0.554
ENSGACT00000002214,0.006,0.786,1.000
ENSGACT00000002215,0.146,0.001,0.014
ENSGACT00000002216,0.078,0.136,0.503
ENSGACT00000002223,-0.145,0.012,0.102
ENSGACT00000002224,0.001,0.884,1.000
ENSGACT00000002228,0.225,0.010,0.097
ENSGACT00000002233,0.334,0.002,0.043
ENSGACT00000002234,0.590,0.001,0.014
ENSGACT00000002235,-0.133,0.092,0.343
ENSGACT00000002244,-0.055,0.608,0.816
ENSGACT00000002245,0.034,0.254,0.545
ENSGACT00000002246,-0.091,0.216,0.545
ENSGACT00000002255,0.243,0.001,0.014
ENSGACT00000002256,0.289,0.026,0.161
ENSGACT00000002257,0.080,0.770,0.947
ENSGACT00000002259,0.002,0.708,0.883
ENSGACT00000002268,0.353,0.010,0.097
ENSGACT00000002272,0.265,0.001,0.014
ENSGACT00000002273,0.350,0.198,0.545
ENSGACT00000002275,0.318,0.001,0.014
ENSGACT00000002280,0.119,0.006,0.068
ENSGACT00000002282,-0.033,0.768,0.947
ENSGACT00000002283,-0.030,0.280,0.554
ENSGACT00000002285,0.201,0.248,0.545
ENSGACT00000002315,-0.072,0.056,0.266
ENSGACT00000002320,-0.016,0.446,0.783
ENSGACT00000002322,0.309,0.001,0.014
ENSGACT00000002323,0.134,0.020,0.152
ENSGACT00000002327,0.015,0.684,0.862
ENSGACT00000002328,0.209,0.008,0.073
ENSGACT00000002329,-0.025,0.530,0.816
ENSGACT00000002330,-0.056,0.294,0.640
ENSGACT00000002336,-0.215,0.001,0.014
ENSGACT00000002340,0.060,0.290,0.640
ENSGACT00000002346,-0.403,0.001,0.014
ENSGACT00000002347,0.101,0.014,0.122
ENSGACT00000002349,-0.138,0.008,0.068
ENSGACT00000002350,0.149,0.068,0.271
ENSGACT00000002353,0.143,0.064,0.266
ENSGACT00000002356,-0.010,0.814,1.000
ENSGACT00000002359,-0.299,0.001,0.014
ENSGACT00000002360,0.169,0.106,0.465
ENSGACT00000002362,-0.135,0.008,0.068
ENSGACT00000002367,-0.019,0.916,1.000
ENSGACT00000002375,0.063,0.142,0.503
ENSGACT00000002386,0.004,0.742,0.947
ENSGACT00000002388,0.137,0.312,0.641
ENSGACT00000002391,0.537,0.001,0.014
ENSGACT00000002403,-0.171,0.030,0.183
ENSGACT00000002404,-0.516,0.001,0.014
ENSGACT00000002408,0.044,0.418,0.783
ENSGACT00000002411,0.186,0.001,0.014
ENSGACT00000002412,0.542,0.001,0.014
ENSGACT00000002413,-0.093,0.218,0.545
ENSGACT00000002414,-0.092,0.046,0.254
ENSGACT00000002415,0.077,0.386,0.708
ENSGACT00000002416,0.402,0.001,0.014
ENSGACT00000002417,-0.071,0.028,0.163
ENSGACT00000002419,-0.106,0.152,0.511
ENSGACT00000002421,0.382,0.001,0.014
ENSGACT00000002426,0.094,0.440,0.783
ENSGACT00000002427,-0.288,0.022,0.152
ENSGACT00000002428,0.087,0.038,0.208
ENSGACT00000002431,0.048,0.600,0.816
ENSGACT00000002434,0.474,0.001,0.014
ENSGACT00000002436,0.081,0.700,0.862
ENSGACT00000002437,-0.007,0.918,1.000
ENSGACT00000002438,-0.104,0.106,0.465
ENSGACT00000002443,-0.221,0.012,0.102
ENSGACT00000002444,0.017,0.734,0.883
ENSGACT00000002446,0.096,0.180,0.527
ENSGACT00000002447,0.021,0.632,0.816
ENSGACT00000002451,0.377,0.001,0.014
ENSGACT00000002453,-0.401,0.001,0.014
ENSGACT00000002455,-0.204,0.100,0.343
ENSGACT00000002457,0.197,0.066,0.271
ENSGACT00000002458,0.420,0.001,0.014
ENSGACT00000002463,-0.117,0.096,0.343
ENSGACT00000002464,-0.017,0.900,1.000
ENSGACT00000002466,-0.098,0.078,0.325
ENSGACT00000002474,-0.121,0.008,0.068
ENSGACT00000002476,-0.219,0.044,0.254
ENSGACT00000002477,0.000,0.938,1.000
ENSGACT00000002478,-0.002,0.928,1.000
ENSGACT00000002481,0.311,0.001,0.014
ENSGACT00000002483,0.232,0.554,0.816
ENSGACT00000002484,-0.193,0.004,0.068
ENSGACT00000002488,0.199,0.001,0.014
ENSGACT00000002490,0.269,0.001,0.014
ENSGACT00000002494,0.121,0.040,0.254
ENSGACT00000002495,-0.031,0.208,0.545
ENSGACT00000002496,-0.098,0.820,1.000
ENSGACT00000002498,0.019,0.644,0.816
ENSGACT00000002503,-1.469,0.001,0.014
ENSGACT00000002504,0.151,0.114,0.465
ENSGACT00000002505,-0.174,0.014,0.122
ENSGACT00000002508,-0.008,0.924,1.000
ENSGACT00000002509,-0.098,0.098,0.343
ENSGACT00000002510,-0.060,0.214,0.545
ENSGACT00000002514,0.041,0.624,0.816
ENSGACT00000002518,0.039,0.490,0.816
ENSGACT00000002521,0.204,0.001,0.014
ENSGACT00000002526,-0.013,0.920,1.000
ENSGACT00000002527,-0.075,0.486,0.783
ENSGACT00000002529,0.216,0.001,0.014
ENSGACT00000002533,0.133,0.034,0.206
ENSGACT00000002534,0.025,0.926,1.000
ENSGACT00000002536,-0.041,0.680,0.862
ENSGACT00000002539,-0.504,0.001,0.014
ENSGACT00000002540,-0.012,0.790,1.000
ENSGACT00000002542,-0.085,0.116,0.465
ENSGACT00000002543,0.085,0.242,0.545
ENSGACT00000002544,-0.006,0.946,1.000
ENSGACT00000002547,-0.097,0.190,0.537
ENSGACT00000002548,-0.095,0.118,0.465
ENSGACT00000002549,0.173,0.010,0.097
ENSGACT00000002553,-0.196,0.008,0.068
ENSGACT00000002555,0.006,0.524,0.816
ENSGACT00000002560,-0.271,0.001,0.014
ENSGACT00000002564,0.233,0.012,0.102
ENSGACT00000002566,-0.071,0.538,0.816
ENSGACT00000002567,-0.009,0.584,0.816
ENSGACT00000002569,0.107,0.316,0.641
ENSGACT00000002570,-0.268,0.246,0.545
ENSGACT00000002581,0.082,0.032,0.191
ENSGACT00000002583,0.205,0.001,0.014
ENSGACT00000002585,0.091,0.588,0.816
ENSGACT00000002588,0.037,0.634,0.816
ENSGACT00000002590,-0.032,0.878,1.000
ENSGACT00000002596,0.230,0.001,0.014
ENSGACT00000002599,-0.026,0.510,0.816
ENSGACT00000002603,0.243,0.001,0.014
ENSGACT00000002604,0.285,0.001,0.014
ENSGACT00000002605,-0.060,0.484,0.783
ENSGACT00000002607,0.037,0.272,0.545
ENSGACT00000002609,-0.052,0.176,0.527
ENSGACT00000002613,0.012,0.752,0.947
ENSGACT00000002614,-0.111,0.166,0.511
ENSGACT00000002617,-0.059,0.470,0.783
ENSGACT00000002620,0.072,0.018,0.152
ENSGACT00000002622,0.091,0.174,0.511
ENSGACT00000002629,-0.262,0.001,0.014
ENSGACT00000002630,-0.003,0.818,1.000
ENSGACT00000002634,0.579,0.046,0.254
ENSGACT00000002637,-0.198,0.080,0.325
ENSGACT00000002641,-0.360,0.001,0.014
ENSGACT00000002643,-0.144,0.236,0.545
ENSGACT00000002646,-0.029,0.862,1.000
ENSGACT00000002652,0.097,0.044,0.254
ENSGACT00000002654,0.004,0.908,1.000
ENSGACT00000002656,0.090,0.026,0.161
ENSGACT00000002658,-0.070,0.204,0.545
ENSGACT00000002659,0.344,0.001,0.014
ENSGACT00000002662,-0.040,0.616,0.816
ENSGACT00000002664,-0.045,0.488,0.783
ENSGACT00000002668,-0.706,0.001,0.014
ENSGACT00000002670,0.000,0.888,1.000
ENSGACT00000002673,0.252,0.001,0.014
ENSGACT00000002675,-0.019,0.768,0.947
ENSGACT00000002676,0.327,0.001,0.014
ENSGACT00000002677,0.539,0.012,0.102
ENSGACT00000002678,-0.131,0.106,0.465
ENSGACT00000002679,-0.242,0.001,0.014
ENSGACT00000002680,0.032,0.888,1.000
ENSGACT00000002691,0.028,0.416,0.783
ENSGACT00000002692,0.203,0.026,0.161
ENSGACT00000002696,-0.179,0.308,0.641
ENSGACT00000002697,0.535,0.001,0.014
ENSGACT00000002703,-0.025,0.764,0.947
ENSGACT00000002712,-0.070,0.656,0.862
ENSGACT00000002713,0.073,0.730,0.883
ENSGACT00000002714,-0.119,0.026,0.161
ENSGACT00000002715,-0.207,0.034,0.206
ENSGACT00000002729,0.139,0.114,0.465
ENSGACT00000002730,0.388,0.001,0.014
ENSGACT00000002731,-0.093,0.768,0.947
ENSGACT00000002733,0.064,0.352,0.641
ENSGACT00000002735,-0.392,0.001,0.014
ENSGACT00000002737,0.073,0.394,0.708
ENSGACT00000002742,0.056,0.524,0.816
ENSGACT00000002744,0.045,0.454,0.783
ENSGACT00000002745,-0.088,0.210,0.545
ENSGACT00000002747,0.009,0.830,1.000
ENSGACT00000002749,-0.020,0.964,1.000
ENSGACT00000002751,-0.121,0.100,0.343
ENSGACT00000002753,0.137,0.042,0.254
ENSGACT00000002754,-0.069,0.196,0.545
ENSGACT00000002755,0.038,0.650,0.862
ENSGACT00000002759,-0.044,0.234,0.545
ENSGACT00000002762,-0.128,0.054,0.266
ENSGACT00000002764,0.243,0.001,0.014
ENSGACT00000002768,0.200,0.108,0.465
ENSGACT00000002770,-0.070,0.098,0.343
ENSGACT00000002771,0.004,0.656,0.862
ENSGACT00000002772,0.194,0.012,0.102
ENSGACT00000002774,-0.133,0.010,0.097
ENSGACT00000002776,-0.003,0.796,1.000
ENSGACT00000002778,-0.005,0.890,1.000
ENSGACT00000002780,0.015,0.576,0.816
ENSGACT00000002782,-0.232,0.001,0.014
ENSGACT00000002783,0.085,0.180,0.527
ENSGACT00000002784,-0.050,0.724,0.883
ENSGACT00000002790,-0.643,0.001,0.014
ENSGACT00000002792,-1.121,0.001,0.014
ENSGACT00000002799,-0.206,0.096,0.343
ENSGACT00000002804,0.506,0.001,0.014
ENSGACT00000002810,0.032,0.530,0.816
ENSGACT00000002815,0.011,0.972,1.000
ENSGACT00000002818,-0.270,0.002,0.043
ENSGACT00000002823,-0.087,0.230,0.545
ENSGACT00000002827,-0.054,0.472,0.783
ENSGACT00000002828,-0.031,0.600,0.816
ENSGACT00000002832,-0.036,0.908,1.000
ENSGACT00000002834,0.572,0.008,0.073
ENSGACT00000002836,0.132,0.022,0.152
ENSGACT00000002840,0.057,0.838,1.000
ENSGACT00000002842,-0.245,0.001,0.014
ENSGACT00000002845,-0.091,0.250,0.545
ENSGACT00000002846,0.027,0.260,0.545
ENSGACT00000002850,0.004,0.772,0.947
ENSGACT00000002851,0.064,0.506,0.816
ENSGACT00000002852,0.022,0.934,1.000
ENSGACT00000002855,-0.040,0.724,0.883
ENSGACT00000002856,-0.154,0.048,0.254
ENSGACT00000002858,-0.014,0.910,1.000
ENSGACT00000002859,0.045,0.666,0.862
ENSGACT00000002862,0.090,0.014,0.122
ENSGACT00000002863,0.034,0.448,0.783
ENSGACT00000002866,-0.017,0.980,1.000
ENSGACT00000002867,0.009,0.606,0.816
ENSGACT00000002868,0.529,0.001,0.014
ENSGACT00000002870,0.131,0.094,0.343
ENSGACT00000002872,0.238,0.001,0.014
ENSGACT00000002887,0.010,0.782,1.000
ENSGACT00000002890,-0.140,0.001,0.014
ENSGACT00000002891,0.096,0.332,0.641
ENSGACT00000002892,-0.183,0.346,0.641
ENSGACT00000002893,-0.617,0.001,0.014
ENSGACT00000002896,-0.276,0.001,0.014
ENSGACT00000002899,0.062,0.096,0.343
ENSGACT00000002902,0.353,0.001,0.014
ENSGACT00000002905,0.168,0.001,0.014
ENSGACT00000002907,-0.027,0.524,0.816
ENSGACT00000002910,0.248,0.082,0.325
ENSGACT00000002911,0.208,0.001,0.014
ENSGACT00000002924,-0.397,0.001,0.014
ENSGACT00000002926,-0.098,0.014,0.122
ENSGACT00000002931,0.132,0.006,0.068
ENSGACT00000002936,-0.298,0.016,0.122
ENSGACT00000002950,-0.542,0.001,0.014
ENSGACT00000002952,0.120,0.828,1.000
ENSGACT00000002953,-0.055,0.146,0.511
ENSGACT00000002955,0.172,0.018,0.152
ENSGACT00000002958,-0.050,0.608,0.816
ENSGACT00000002963,0.137,0.032,0.191
ENSGACT00000002964,0.138,0.001,0.014
ENSGACT00000002965,0.031,0.316,0.641
ENSGACT00000002969,-0.291,0.002,0.043
ENSGACT00000002970,0.065,0.844,1.000
ENSGACT00000002971,-0.037,0.152,0.511
ENSGACT00000002972,-0.323,0.001,0.014
ENSGACT00000002973,0.102,0.426,0.783
ENSGACT00000002976,0.010,0.742,0.947
ENSGACT00000002979,0.059,0.048,0.254
ENSGACT00000002980,-0.027,0.572,0.816
ENSGACT00000002984,0.130,0.008,0.073
ENSGACT00000002986,0.105,0.266,0.545
ENSGACT00000002987,0.030,0.884,1.000
ENSGACT00000002991,-0.051,0.512,0.816
ENSGACT00000002997,-0.279,0.001,0.014
ENSGACT00000002999,0.055,0.196,0.545
ENSGACT00000003000,0.027,0.830,1.000
ENSGACT00000003013,0.185,0.058,0.266
ENSGACT00000003014,-0.008,0.978,1.000
ENSGACT00000003017,0.132,0.010,0.097
ENSGACT00000003019,-0.144,0.018,0.152
ENSGACT00000003021,0.087,0.756,0.947
ENSGACT00000003027,-0.032,0.516,0.816
ENSGACT00000003029,0.124,0.066,0.271
ENSGACT00000003031,0.107,0.096,0.343
ENSGACT00000003034,0.152,0.001,0.014
ENSGACT00000003036,-0.543,0.001,0.014
ENSGACT00000003038,0.377,0.001,0.014
ENSGACT00000003040,-0.223,0.010,0.097
ENSGACT00000003042,0.105,0.022,0.152
ENSGACT00000003044,-0.077,0.210,0.545
ENSGACT00000003051,0.006,0.772,0.947
ENSGACT00000003052,-0.130,0.136,0.503
ENSGACT00000003053,0.264,0.001,0.014
ENSGACT00000003057,-0.001,0.890,1.000
ENSGACT00000003060,-0.150,0.070,0.271
ENSGACT00000003063,-0.095,0.112,0.465
ENSGACT00000003070,-0.008,0.632,0.816
ENSGACT00000003071,-0.078,0.556,0.816
ENSGACT00000003074,0.126,0.001,0.014
ENSGACT00000003075,0.220,0.168,0.511
ENSGACT00000003078,-0.064,0.730,0.883
ENSGACT00000003080,-0.149,0.032,0.191
ENSGACT00000003083,0.084,0.330,0.641
ENSGACT00000003086,0.056,0.308,0.641
ENSGACT00000003088,0.473,0.006,0.068
ENSGACT00000003089,0.169,0.004,0.068
ENSGACT00000003090,-0.022,0.344,0.641
ENSGACT00000003093,0.158,0.128,0.465
ENSGACT00000003097,-0.193,0.024,0.161
ENSGACT00000003099,-0.088,0.238,0.545
ENSGACT00000003100,-0.080,0.694,0.862
ENSGACT00000003101,0.026,0.864,1.000
ENSGACT00000003102,0.208,0.002,0.043
ENSGACT00000003105,-0.136,0.150,0.511
ENSGACT00000003108,0.270,0.001,0.014
ENSGACT00000003109,-0.145,0.006,0.068
ENSGACT00000003111,0.217,0.020,0.152
ENSGACT00000003113,-0.070,0.288,0.640
ENSGACT00000003115,0.071,0.186,0.537
ENSGACT00000003116,0.238,0.082,0.325
ENSGACT00000003117,0.142,0.024,0.161
ENSGACT00000003119,-0.198,0.046,0.254
ENSGACT00000003128,-0.130,0.050,0.254
ENSGACT00000003130,0.216,0.010,0.097
ENSGACT00000003131,-0.085,0.062,0.266
ENSGACT00000003134,0.802,0.001,0.014
ENSGACT00000003146,-0.102,0.962,1.000
ENSGACT00000003147,0.061,0.278,0.554
ENSGACT00000003148,0.285,0.010,0.097
ENSGACT00000003149,0.385,0.001,0.014
ENSGACT00000003150,0.067,0.976,1.000
ENSGACT00000003154,0.066,0.444,0.783
ENSGACT00000003157,-0.086,0.492,0.816
ENSGACT00000003158,0.251,0.001,0.014
ENSGACT00000003161,-0.021,0.880,1.000
ENSGACT00000003162,-0.034,0.590,0.816
ENSGACT00000003165,0.425,0.001,0.014
ENSGACT00000003167,-0.121,0.132,0.465
ENSGACT00000003168,0.136,0.062,0.266
ENSGACT00000003169,0.025,0.614,0.816
ENSGACT00000003170,0.095,0.260,0.545
ENSGACT00000003171,0.117,0.040,0.254
ENSGACT00000003175,-0.046,0.666,0.862
ENSGACT00000003177,-0.629,0.001,0.014
ENSGACT00000003178,-0.067,0.440,0.783
ENSGACT00000003179,0.791,0.001,0.014
ENSGACT00000003181,0.099,0.056,0.266
ENSGACT00000003184,0.839,0.001,0.014
ENSGACT00000003186,0.005,0.910,1.000
ENSGACT00000003187,-0.243,0.008,0.068
ENSGACT00000003190,-0.419,0.002,0.043
ENSGACT00000003192,-0.521,0.001,0.014
ENSGACT00000003193,1.528,0.001,0.014
ENSGACT00000003196,-0.103,0.250,0.545
ENSGACT00000003198,-0.110,0.068,0.271
ENSGACT00000003199,0.182,0.016,0.122
ENSGACT00000003209,0.049,0.660,0.862
ENSGACT00000003210,0.058,0.138,0.503
ENSGACT00000003212,-0.044,0.274,0.554
ENSGACT00000003213,0.306,0.001,0.014
ENSGACT00000003215,0.237,0.001,0.014
ENSGACT00000003220,0.372,0.001,0.014
ENSGACT00000003228,-0.046,0.416,0.783
ENSGACT00000003229,0.032,0.600,0.816
ENSGACT00000003232,-0.032,0.286,0.597
ENSGACT00000003233,-0.884,0.001,0.014
ENSGACT00000003234,-0.147,0.018,0.152
ENSGACT00000003236,0.002,0.978,1.000
ENSGACT00000003238,0.258,0.054,0.266
ENSGACT00000003239,0.286,0.001,0.014
ENSGACT00000003241,0.188,0.146,0.511
ENSGACT00000003242,-0.150,0.142,0.503
ENSGACT00000003249,0.036,0.588,0.816
ENSGACT00000003250,-0.100,0.476,0.783
ENSGACT00000003251,0.270,0.001,0.014
ENSGACT00000003253,0.089,0.272,0.545
ENSGACT00000003254,0.133,0.062,0.266
ENSGACT00000003255,-0.261,0.001,0.014
ENSGACT00000003256,0.022,0.678,0.862
ENSGACT00000003257,0.489,0.001,0.014
ENSGACT00000003259,-0.473,0.001,0.014
ENSGACT00000003260,0.028,0.700,0.862
ENSGACT00000003261,-0.439,0.001,0.014
ENSGACT00000003262,-0.061,0.430,0.783
ENSGACT00000003265,-0.069,0.274,0.554
ENSGACT00000003269,0.376,0.002,0.043
ENSGACT00000003270,-0.067,0.336,0.641
ENSGACT00000003277,-0.276,0.001,0.014
ENSGACT00000003280,-0.018,0.950,1.000
ENSGACT00000003283,0.696,0.001,0.014
ENSGACT00000003285,-0.251,0.001,0.014
ENSGACT00000003286,0.128,0.001,0.014
ENSGACT00000003287,0.050,0.596,0.816
ENSGACT00000003288,0.237,0.001,0.014
ENSGACT00000003292,-0.050,0.580,0.816
ENSGACT00000003298,0.042,0.216,0.545
ENSGACT00000003299,-0.492,0.001,0.014
ENSGACT00000003300,-0.094,0.156,0.511
ENSGACT00000003306,-0.018,0.966,1.000
ENSGACT00000003308,0.029,0.742,0.947
ENSGACT00000003312,-0.054,0.618,0.816
ENSGACT00000003313,0.014,0.748,0.947
ENSGACT00000003322,0.388,0.001,0.014
ENSGACT00000003323,-0.031,0.406,0.708
ENSGACT00000003325,0.215,0.052,0.266
ENSGACT00000003326,-0.083,0.152,0.511
